Airport,Lat,Lng
EBB,0.0450515,32.4428212
LBV,0.456963,9.409852
NBO,-1.3292196,36.9250503
SIN,1.3514399,103.9850929
MGO,-1.733333,10.216667
KGL,-1.963042,30.135014
CCS,10.5978,-67.000603
POS,10.602089,-61.339413
SGN,10.820556,106.660833
PNH,11.546111,104.84778
JIB,11.547222,43.1591669
LIM,-12.0194682,-77.1077685
NDJ,12.129056,15.034215
MGA,12.141667,-86.168333
CUR,12.188463,-68.960945
OUA,12.353611,-1.511944
AUA,12.502222,-70.013885
BKO,12.540926,-7.947951
BLR,12.9451248,77.6633861
GUM,13.483056,144.795556
BKK,13.6924199,100.7508915
MNL,14.507973,121.021665
GUA,14.583263,-90.527463
FDF,14.5917077,-61.0049298
SPN,15.119026,145.728212
LUN,-15.330904,28.454345
GOA,15.380556,73.833056
SAN,15.479167,44.219722
PTP,16.264684,-61.526651
CNS,-16.876537,145.75404
SRZ,-17.8055975,-63.1781761
HRE,-17.918784,31.0972791
VTE,17.988056,102.563056
SXM,18.040833,-63.109444
NKC,18.098148,-15.952041
SDQ,18.4302194,-69.6764909
SJU,18.436459,-66.005055
MBJ,18.498465,-77.91663
PUJ,18.562998,-68.363617
PAP,18.575394,-72.29471
TNR,-18.796389,47.476111
BOM,19.0900222,72.8687096
AZS,19.267656,-69.7304614
MEX,19.436111,-99.071944
CNF,-19.634099,-43.965396
KOA,19.7367705,-156.0397822
POP,19.754942,-70.56315
GYE,-2.158056,-79.883889
KUL,2.74104,101.720121
MRU,-20.430773,57.6749825
GDL,20.521667,-103.311111
NTE,20.521944,-86.9338889
RUN,-20.891394,55.5178001
OGG,20.892805,-156.438779
CUN,21.036962,-86.873917
HAN,21.2177657,105.802612
HNL,21.332898,-157.921418
LIH,21.978007,-159.349152
NOU,-22.0169673,166.2160448
HKG,22.308889,113.914722
GIG,-22.8112814,-43.2486242
HAV,22.9891669,-82.409167
CAN,23.1833333,113.2661111
GRU,-23.42883,-46.4753639
MCT,23.592778,58.281667
RUH,24.958202,46.700779
TPE,25.0770371,121.2323876
DUB,25.252778,55.364444
DXB,25.252778,55.364444
DOH,25.2575048,51.5718842
SHJ,25.3284352,55.5122577
CWB,-25.5322,-49.176544
MIA,25.796549,-80.275614
FLL,26.0727465,-80.1400287
JNB,-26.135174,28.229112
MFE,26.179474,-98.238166
BAH,26.270833,50.633611
DMM,26.4705559,49.798333
RSW,26.54285,-81.754568
ODL,-26.7459845,140.6382045
BNE,-27.3988315,153.1177999
TIA,27.696863,85.359177
TPA,27.976891,-82.533377
MCO,28.431639,-81.3082862
DEL,28.5611544,77.1217676
DAB,29.1795453,-81.0561458
KWI,29.240116,47.971252
DWC,29.4535686,-95.236323
SAT,29.524947,-98.473251
MMA,29.6478503,-95.5990894
HOU,29.6541074,-95.2766145
SPL,29.65912,-95.428829
MSY,29.984223,-90.255969
IAH,29.9866788,-95.3381109
POA,-29.9943404,-51.1711224
JRO,-3.429167,37.074444
SSG,3.757791,8.716096
CAI,30.111389,31.413889
AUS,30.202633,-97.668146
HGH,30.23295,120.435871
TLH,30.3953292,-84.3450514
PNS,30.475946,-87.193627
JAX,30.4935067,-81.6801875
WUH,30.5,114.3166667
CTU,30.5783333,103.9469444
